# 2016.07.04 created by TopoDroid v 3.1.4

# d35
# from to tape compass clino (declination 0.0000)
# units tape meters compass clino degrees
38@d35,-,2.40,279.7,-87.0
38@d35,39@d35,7.87,334.7,2.0
39@d35,-,0.91,67.4,9.7
39@d35,-,1.26,61.2,-47.9
39@d35,-,1.09,78.6,80.4
39@d35,40@d35,3.40,338.8,8.2
40@d35,-,0.78,245.1,6.9
40@d35,-,2.88,298.9,75.0
40@d35,-,0.87,53.6,-0.6
40@d35,-,1.74,344.2,-83.5
40@d35,41@d35,4.90,340.8,-6.9
41@d35,-,0.53,72.3,5.6
41@d35,-,2.38,347.7,84.8
41@d35,-,1.94,127.9,-89.6
41@d35,42@d35,4.91,341.6,3.3
42@d35,-,0.49,93.1,6.6
42@d35,-,3.94,189.2,81.5
42@d35,-,1.63,164.3,-78.8
42@d35,43@d35,2.14,332.7,-16.6
43@d35,-,2.10,357.4,-17.1
43@d35,-,3.50,289.4,-12.9
43@d35,-,2.18,225.8,6.5
43@d35,-,1.56,126.3,7.1
43@d35,-,1.20,74.0,6.6
43@d35,-,5.40,30.4,49.6
43@d35,-,8.96,335.0,69.4
43@d35,-,9.32,282.1,61.6
43@d35,47@d35,9.53,281.8,73.7
43@d35,-,2.49,98.4,2.5
43@d35,-,1.36,25.6,6.0
43@d35,-,2.14,275.3,7.3
43@d35,-,1.72,337.0,3.2
43@d35,44@d35,6.36,156.7,87.7
44@d35,-,1.20,62.6,4.3
44@d35,-,0.54,346.5,9.7
44@d35,-,1.87,254.6,5.5
44@d35,45@d35,1.61,206.3,49.7
45@d35,-,1.31,282.7,3.1
45@d35,-,1.28,294.8,62.1
45@d35,-,3.29,205.9,-59.5
45@d35,46@d35,2.29,199.5,6.6
46@d35,-,0.80,100.4,9.9
46@d35,-,1.74,130.5,7.6
46@d35,-,7.01,145.9,-2.9
46@d35,-,6.78,167.2,-5.3
46@d35,-,2.22,205.3,-2.8
46@d35,-,1.15,276.8,1.9
46@d35,-,0.77,325.6,-2.5
46@d35,48@d35,7.03,147.3,-4.7
48@d35,-,2.50,261.1,1.4
48@d35,-,5.69,301.0,1.6
48@d35,-,5.66,331.3,-1.1
48@d35,-,1.57,23.4,-4.8
48@d35,49@d35,10.13,258.5,78.0
49@d35,-,2.12,348.3,-3.5
49@d35,-,2.71,33.6,-1.6
49@d35,-,3.70,70.4,-0.9
49@d35,-,4.26,107.7,-1.4
49@d35,50@d35,3.23,141.8,-3.1
50@d35,-,2.21,64.2,3.2
50@d35,-,0.26,238.7,5.0
50@d35,51@d35,9.52,263.4,80.8
51@d35,-,0.97,330.7,5.7
51@d35,-,0.40,245.2,-2.3
51@d35,-,0.27,72.2,6.8
51@d35,-,2.88,191.6,14.0
51@d35,-,3.92,168.7,11.4
51@d35,52@d35,4.32,193.3,50.0
52@d35,-,3.88,188.9,-1.1
52@d35,-,0.76,254.2,6.2
52@d35,-,1.89,333.6,0.8
52@d35,-,2.16,304.2,-7.2
52@d35,53@d35,1.25,15.7,-18.7
53@d35,-,0.28,115.2,3.7
53@d35,-,0.30,131.8,87.2
53@d35,54@d35,1.10,31.3,7.0
54@d35,-,0.53,275.4,1.9
54@d35,-,0.52,317.6,-72.9
54@d35,-,0.20,19.9,83.7
54@d35,55@d35,3.24,338.3,13.9
55@d35,-,0.53,100.1,3.7
55@d35,-,0.36,86.3,73.2
55@d35,-,1.21,155.3,-80.4
55@d35,56@d35,1.56,14.6,15.7
56@d35,-,0.63,264.6,-78.0
56@d35,-,0.51,63.0,-20.4
56@d35,-,1.16,347.3,1.5
56@d35,-,0.82,290.1,-5.9
56@d35,57@d35,2.09,293.8,17.3
57@d35,-,0.52,206.3,14.3
57@d35,-,0.24,37.8,79.1
57@d35,-,0.64,20.5,9.4
57@d35,-,0.78,334.6,-78.2
57@d35,58@d35,3.00,295.4,23.9
58@d35,-,0.65,198.1,10.9
58@d35,-,0.81,225.6,75.5
58@d35,-,0.56,184.5,-75.8
58@d35,59@d35,3.57,310.2,37.1
59@d35,-,0.57,70.0,10.5
59@d35,-,1.30,343.6,82.2
59@d35,-,1.93,116.2,-77.5
59@d35,-,2.45,90.4,-57.7
59@d35,60@d35,1.89,338.8,55.9
60@d35,-,0.36,254.9,1.6
60@d35,-,0.27,221.4,68.9
60@d35,-,1.48,345.2,-83.6
60@d35,61@d35,6.39,337.3,0.4
61@d35,-,1.07,352.0,1.3
61@d35,-,1.00,70.6,-3.3
61@d35,-,2.41,136.7,-1.6
61@d35,-,3.22,160.8,2.2
61@d35,-,1.75,163.3,5.5
61@d35,62@d35,5.96,283.7,86.8
62@d35,-,1.65,257.5,-5.1
62@d35,-,1.75,332.4,10.6
62@d35,-,5.86,350.3,17.9
62@d35,-,1.89,350.7,12.9
62@d35,-,1.46,185.3,4.9
62@d35,63@d35,7.79,261.3,70.7
63@d35,-,1.19,50.8,15.1
63@d35,-,1.90,135.3,14.6
63@d35,-,0.79,189.3,22.3
63@d35,-,0.44,254.3,25.1
63@d35,64@d35,2.81,35.2,47.1
64@d35,-,0.46,204.3,2.6
64@d35,-,1.62,282.5,4.0
64@d35,-,1.65,316.9,11.4
64@d35,-,1.18,1.2,6.9
64@d35,65@d35,3.81,316.0,64.3
65@d35,66@d35,0.94,191.9,66.1
